number_of_nodes 6
number_of_links 12
Link_ID  Src_Node_ID  Src_adrs        Dst_Node_ID   Dst_adrs
0         0           192.168.1.1     1             192.168.1.2
1         1           192.168.1.2	0             192.168.1.1       
2         1           192.168.3.1     2             192.168.3.2
3         2           192.168.3.2	1             192.168.3.1
4         1           192.168.2.1     3             192.168.2.2
5         3           192.168.2.2     1             192.168.2.1
6         3           192.168.5.1     4             192.168.5.2
7         4           192.168.5.2     3             192.168.5.1
8         2           192.168.4.1     4             192.168.4.2
9         4           192.168.4.2     2             192.168.4.1
10        4           192.168.6.1     5             192.168.6.2 
11        5           192.168.6.2     4             192.168.6.1
